"LAT","LON","DISTRICT","STATION","count"
21.87,87.95,"PASCHIM MEDINIPUR","GHARGRAM KHEJURI",2
21.87,88.18,"24 PARGANAS S   ","KAKDWIP         ",2
22,88,"24 PARGANAS S   ","CANNING         2",2
22.44,87,"JHARGRAM        ","JHARGRAM (PT0)  ",2
22.58,87.05,"JHARGRAM        ","LALGARH         ",2
22.6,88.32,"24 PARGANAS S   ","KAKDWIP AMFU    ",2
23.63,88.12,"PURBA BARDHAMAN         ","KATWA           2",2
23.68,86.95,"PASCHIM BARDHAMAN         ","ASANSOLE %A     ",2
25,88.3,"MALDA           ","HABIBPUR        ",2
25.17,88.37,"MALDA           ","BAMONGOLA       ",2
25.23,88.25,"DAKSHIN DINAJPUR","BANSHIHARI      ",2
25.31,88.22,"DAKSHIN DINAJPUR","KUSHMIUNDI      ",2
25.32,88.77,"DAKSHIN DINAJPUR","MAJHIAN AMFU    ",2
25.42,87.88,"MALDA           ","HARISHCHANDRAPUR",2
25.43,88.73,"DAKSHIN DINAJPUR","KUMARGANJ       ",2
25.6,88.1,"UTTAR DINAJPUR","RAIGANJ(PTO)    ",2
25.67,88.23,"UTTAR DINAJPUR","HEMTABAD        ",2
26.4,89.38,"COOCH BEHAR     ","PUNDIBARI AMFU  ",2
26.55,88.18,"DARJEELING      ","KHARIBARI       ",2
27.07,88.47,"KALIMPONG       ","KALIMPONG AMFU  ",2
22.35,88.26,"24 PARGANAS N   ","MO SALT LAKE    ",1
23,86,"PURULIA ","PURULIA         3",1
